subjectID,r,r2,p
4,0.5273135376540532,0.2780595669932326,0.005637280869175757
5,0.47414335220226955,0.22481191843760542,0.014400950283311967
11,0.41710113757736667,0.17397335896833335,0.0340130222306651
17,0.4248701710994064,0.18051466229003887,0.030496965512813404
22,0.33604496807859535,0.11292622057094417,0.09326060641035662
32,0.1584390391153356,0.025102929115790845,0.43949081012776836
37,0.6127952686629081,0.37551804129564575,0.0008743925159111612
41,0.5329042791008267,0.28398697068397183,0.005063130605937806
44,0.6040145111034531,0.36483352962354343,0.0010848372123498872
46,0.4593260642266328,0.2109804332779288,0.018247274999390398
53,0.7139674129188163,0.5097494667099874,4.205023047696592e-05
59,0.5918530305705976,0.3502900097956007,0.0014477958558082387
62,0.5179296223645886,0.2682510937227254,0.006724266205294269
63,0.5847061893101787,0.34188132781763053,0.0017064728857778075
64,0.33164898606456505,0.10999104995765406,0.09789584600146986
67,0.5867352268699686,0.3442582264501535,0.0016292838012664057
69,0.28158965421240467,0.07929273335946163,0.16343725775522636
75,0.518962972000299,0.26932256630738305,0.006596545923069136
77,0.5505581743367272,0.30311430332899003,0.0035632267330044766
78,0.5485567201957356,0.3009144752719026,0.0037115482768776973
79,0.5603050323451337,0.3139417292712814,0.002910839554706093
