subjectID,r,r2,p
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub1,0.7237949718176966,0.5238791612285802,2.9253990119074713e-05
sub2,0.7498796923493014,0.5623195529978829,1.0327573607913705e-05
sub2,0.7498796923493014,0.5623195529978829,1.0327573607913705e-05
sub2,0.7498796923493014,0.5623195529978829,1.0327573607913705e-05
sub2,0.7498796923493014,0.5623195529978829,1.0327573607913705e-05
sub2,0.7498796923493014,0.5623195529978829,1.0327573607913705e-05
