tractID,WeAvGMT1wT2w,t1wt2w
AFL,1.0893894871697136,0.6312215329638197
AFR,1.1281387471142132,0.6140963320526525
ATRL,1.0477973757825887,0.921364810772081
ATRR,1.0763787856238838,0.9076337052696158
CCL,1.1232786661761642,0.6414946310184775
CCR,1.1018435972173983,0.6617367364154009
CSL,1.2526114950588794,1.3104516368230283
CSR,1.2573876701755045,1.2498335502283704
FcMa,1.0661397282641611,0.6899553255742258
FcMi,1.062476352594899,0.5714023381554173
IFOFL,1.0600787943145336,0.6551408739037262
IFOFR,1.0788577649285176,0.6590266129949934
ILFL,1.0440938889663498,0.5945977009277936
ILFR,1.0575549901732204,0.6097003900380341
MLFL,1.016989664509339,0.6251737293281715
MLFR,1.0580172668259133,0.6493131127992929
ORL,1.1564211491615783,0.8141178258531162
ORR,1.1444616663979192,0.8212649753769765
SLFL,1.1440365829983021,0.6142994269070605
SLFR,1.152856659492627,0.6106545433496493
UNCL,1.0547023798533703,0.6926196145047242
UNCR,1.10982679090599,0.6811571405709493
VOFL,1.0699126146573585,0.4768366900167034
VOFR,1.0933947407904825,0.4705538328817637
pAFL,0.9912809775437533,0.4469493955618359
pAFR,0.9961769501749079,0.4481288584319892
