tractID,WeAvGMT1wT2w,t1wt2w
AFL,1.2150805606727713,0.8158803700967654
AFR,1.2755253393228847,0.794570442691169
ATRL,1.189030201010619,1.1235636597343663
ATRR,1.214796187914898,1.1117401540506253
CCL,1.2693394214746714,0.7984957976642159
CCR,1.2462672054443165,0.7996670842959132
CSL,1.4112182211732751,1.5694449318233696
CSR,1.4360348143284987,1.5482992814831558
FcMa,1.2066405614038016,0.8206409022356407
FcMi,1.1993692837405532,0.7109975876887364
IFOFL,1.2081408164848033,0.7643857886789908
IFOFR,1.2235584144652654,0.7841025183837327
ILFL,1.185938252661273,0.7103577034288369
ILFR,1.2116907367970895,0.7445429885202791
MLFL,1.1484403121557478,0.7521269089768398
MLFR,1.2090442830547723,0.78477552759629
ORL,1.3308518803506835,0.9555889012590233
ORR,1.3703192667875161,0.9930841946768243
SLFL,1.2793674836914173,0.7946244698767304
SLFR,1.3020488736448406,0.806439529253918
UNCL,1.1862345207897325,0.8185508815223742
UNCR,1.2518121074018078,0.8223431973487793
VOFL,1.1924446220020886,0.6052746516418473
VOFR,1.2596710004554263,0.6299384758120237
pAFL,1.1175131540730858,0.547519672852513
pAFR,1.137800845461931,0.5656600123251508
