,subjectID,tractID,GM_R1,R1
0,4,AFL,0.44729675300407157,0.4353280231942307
1,4,AFR,0.44514186933741384,0.431893589688863
2,4,ATRL,0.4533102226071323,0.5070820559111792
3,4,ATRR,0.4530457909582845,0.49887257488098635
4,4,CCL,0.4502641045462098,0.42824192134512346
5,4,CCR,0.4524504088564274,0.4183188257262952
6,4,CSL,0.4782504867551626,0.5380150596243085
7,4,CSR,0.4734774591901263,0.5346583338765742
8,4,FcMa,0.4535901479236338,0.4378894471655163
9,4,FcMi,0.4499419306181429,0.4162004038000659
10,4,IFOFL,0.4580708090829839,0.47349689944179496
11,4,IFOFR,0.45737098849921665,0.4560806898069287
12,4,ILFL,0.4552001152986097,0.446875374374211
13,4,ILFR,0.4564774442025141,0.44505747162926323
14,4,MLFL,0.4471580469590701,0.44837611660439247
15,4,MLFR,0.44754136858594457,0.44701643764578325
16,4,ORL,0.48352397128522184,0.454023969543561
17,4,ORR,0.47547006766911076,0.4554122515747369
18,4,SLFL,0.45450641290992927,0.44612735736362535
19,4,SLFR,0.4530647878206183,0.4404444175235201
20,4,UNCL,0.4446419630031122,0.4650611591374046
21,4,UNCR,0.44144564223055327,0.44199751010730276
22,4,VOFL,0.4612386371561344,0.4386333331167588
23,4,VOFR,0.466103230489967,0.44433949969911424
24,4,pAFL,0.444464727615866,0.42236167132189706
25,4,pAFR,0.4450058620677959,0.4187216463627597
26,5,AFL,0.4249289881514141,0.42928865395888555
27,5,AFR,0.4206402193082096,0.42052148846247195
28,5,ATRL,0.44611266402496647,0.4731172032899964
29,5,ATRR,0.4594753751882088,0.48735472834060006
30,5,CCL,0.4355122813554947,0.39557313036302066
31,5,CCR,0.4298496011335529,0.4049594751904393
32,5,CSL,0.4659373105186223,0.5289908280480808
33,5,CSR,0.469802934605464,0.5220482662584833
34,5,FcMa,0.4341593230193803,0.404652074313927
35,5,FcMi,0.4461022437052874,0.3642987474263557
36,5,IFOFL,0.4329216977800232,0.4408956228445042
37,5,IFOFR,0.4646036385345196,0.42999456200249137
38,5,ILFL,0.4233085021557706,0.42072388375759573
39,5,ILFR,0.4355753102388432,0.40825443666749056
40,5,MLFL,0.4146401656560917,0.4234041077833093
41,5,MLFR,0.42134461044524235,0.4145587460409931
42,5,ORL,0.4396005923341531,0.4281199443739619
43,5,ORR,0.46021014326138643,0.4207076333246213
44,5,SLFL,0.43090390839355097,0.44424916630362016
