tractID,WeAvGMT1wT2w,t1wt2w
AFL,1.1733670854627536,0.7493779357570773
AFR,1.2326130990045858,0.7378874012873712
ATRL,1.1551452258590682,1.039407598047268
ATRR,1.1837264385652653,1.0314690162271432
CCL,1.2261819878321991,0.7540185050844086
CCR,1.2072297759683857,0.7430996826707277
CSL,1.3478001241713622,1.4268339413003626
CSR,1.3620689137973436,1.3867672728714697
FcMa,1.1677269374526016,0.7667047786422876
FcMi,1.1683052929462916,0.6622350006245029
IFOFL,1.1711886016104813,0.728368464326128
IFOFR,1.1866165109574822,0.7387507459625319
ILFL,1.1487102611867341,0.6708041594240088
ILFR,1.1681485009215777,0.6991133077445623
MLFL,1.1131116545086894,0.705507695634353
MLFR,1.1671016001201633,0.7351932356188571
ORL,1.2841484056706676,0.8999256857302778
ORR,1.3075762269566895,0.9290182400905367
SLFL,1.2360894641751858,0.7265575704915128
SLFR,1.2537700233111397,0.7298317665748
UNCL,1.1437817284338485,0.7762752327646788
UNCR,1.2053860188543393,0.7669238655448642
VOFL,1.1602398796319429,0.5583035640908817
VOFR,1.2085124389734692,0.5748846397869731
pAFL,1.0856915544920829,0.5171719157145648
pAFR,1.0936132766954312,0.5301543796557378
