tractID,WeAvGMT1wT2w,t1wt2w
AFL,0.9843687201185166,0.5425295476517402
AFR,1.0438667616520763,0.5471803927669675
ATRL,1.0124440924067157,0.7746924707381322
ATRR,1.0605186765757268,0.7788762339963917
CCL,1.049759319965594,0.6064693357741398
CCR,1.038877613723101,0.5988768608592495
CSL,1.0860010671413098,0.9260883788335028
CSR,1.1186576149111962,0.9231830292268837
FcMa,1.0282413773367312,0.5988211964402674
FcMi,1.042627905148327,0.5116087166685364
IFOFL,1.0173190789542634,0.5236184097918308
IFOFR,1.0471015555098724,0.5338092734317872
ILFL,0.9783947343396091,0.48152455807560474
ILFR,1.0083781241873742,0.5082973034289511
MLFL,0.9637386270453152,0.5047804886872813
MLFR,1.0045933796766684,0.5365429197848764
ORL,1.0759613831655235,0.6431001559367131
ORR,1.0849850583639133,0.6604093825894298
SLFL,1.0316890922818622,0.5072097027157505
SLFR,1.0560861128360421,0.5131688265872649
UNCL,0.9733418586593577,0.5796163747339658
UNCR,1.026422202359267,0.5625797844322905
VOFL,1.010357431349973,0.4133855566320604
VOFR,1.0490183183193733,0.410741983403218
pAFL,0.9435449086443347,0.41218825098477796
pAFR,0.9558385504386353,0.4248710987599491
